2026-04-20 01:26:34,086 | INFO | mainscrip.py:25 | <module>() | Execution started..
2026-04-20 01:26:34,971 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 1
2026-04-20 01:26:34,975 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:36,858 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 2
2026-04-20 01:26:36,879 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:37,815 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 3
2026-04-20 01:26:37,820 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:38,518 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 4
2026-04-20 01:26:38,522 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:39,352 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 5
2026-04-20 01:26:39,356 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:40,262 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 6
2026-04-20 01:26:40,266 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:40,955 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 7
2026-04-20 01:26:40,960 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:41,696 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 8
2026-04-20 01:26:41,702 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:42,365 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 9
2026-04-20 01:26:42,369 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:43,151 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 10
2026-04-20 01:26:43,155 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:43,822 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 11
2026-04-20 01:26:43,822 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:44,490 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 12
2026-04-20 01:26:44,491 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:45,230 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 13
2026-04-20 01:26:45,230 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:46,030 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 14
2026-04-20 01:26:46,030 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:46,770 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 15
2026-04-20 01:26:46,770 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:47,683 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 16
2026-04-20 01:26:47,685 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:48,376 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 17
2026-04-20 01:26:48,380 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:49,057 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 18
2026-04-20 01:26:49,059 | ERROR | db_manager.py:50 | manage_operation() | 'NoneType' object is not subscriptable
2026-04-20 01:26:49,059 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:49,986 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 19
2026-04-20 01:26:49,988 | ERROR | db_manager.py:50 | manage_operation() | 'NoneType' object is not subscriptable
2026-04-20 01:26:49,988 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
2026-04-20 01:26:50,594 | INFO | mainscrip.py:36 | internshala() | Scraped data from page 20
2026-04-20 01:26:50,597 | ERROR | db_manager.py:50 | manage_operation() | 'NoneType' object is not subscriptable
2026-04-20 01:26:50,597 | INFO | mainscrip.py:38 | internshala() | inserted the data into the tables..
